timestamp_utc,timestamp_peru,timestamp_nl,datum_ticket,dagen_vooruit,ruta,aforo,verkocht,beschikbaar,turnos_entregados,turnos_disponibles
2026-09-20T22:33:36.666Z,2026-09-20 17:33:36,2026-09-21 00:33:36,2026-09-21,1,"Ruta 1-A: Montaña Machupicchu",50,50,0,1000,0
2026-09-20T22:33:36.666Z,2026-09-20 17:33:36,2026-09-21 00:33:36,2026-09-21,1,"Ruta 2-A: Clásico Diseñada",600,600,0,1000,0
2026-09-20T22:33:36.666Z,2026-09-20 17:33:36,2026-09-21 00:33:36,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,252,748
2026-09-20T22:33:36.666Z,2026-09-20 17:33:36,2026-09-21 00:33:36,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,201,399,252,748
2026-09-20T22:48:28.949Z,2026-09-20 17:48:28,2026-09-21 00:48:28,2026-09-21,1,"Ruta 1-A: Montaña Machupicchu",50,50,0,1000,0
2026-09-20T22:48:28.949Z,2026-09-20 17:48:28,2026-09-21 00:48:28,2026-09-21,1,"Ruta 2-A: Clásico Diseñada",600,600,0,1000,0
2026-09-20T22:48:28.949Z,2026-09-20 17:48:28,2026-09-21 00:48:28,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,257,743
2026-09-20T22:48:28.949Z,2026-09-20 17:48:28,2026-09-21 00:48:28,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,204,396,257,743
2026-09-20T23:33:32.938Z,2026-09-20 18:33:32,2026-09-21 01:33:32,2026-09-21,1,"Ruta 1-A: Montaña Machupicchu",50,50,0,1000,0
2026-09-20T23:33:32.938Z,2026-09-20 18:33:32,2026-09-21 01:33:32,2026-09-21,1,"Ruta 2-A: Clásico Diseñada",600,600,0,1000,0
2026-09-20T23:33:32.938Z,2026-09-20 18:33:32,2026-09-21 01:33:32,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,305,695
2026-09-20T23:33:32.938Z,2026-09-20 18:33:32,2026-09-21 01:33:32,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,237,363,305,695
2026-09-20T23:48:17.026Z,2026-09-20 18:48:17,2026-09-21 01:48:17,2026-09-21,1,"Ruta 1-A: Montaña Machupicchu",50,50,0,1000,0
2026-09-20T23:48:17.026Z,2026-09-20 18:48:17,2026-09-21 01:48:17,2026-09-21,1,"Ruta 2-A: Clásico Diseñada",600,600,0,1000,0
2026-09-20T23:48:17.026Z,2026-09-20 18:48:17,2026-09-21 01:48:17,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,333,667
2026-09-20T23:48:17.026Z,2026-09-20 18:48:17,2026-09-21 01:48:17,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,264,336,333,667
2026-09-21T00:16:23.714Z,2026-09-20 19:16:23,2026-09-21 02:16:23,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,338,662
2026-09-21T00:16:23.714Z,2026-09-20 19:16:23,2026-09-21 02:16:23,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,271,329,338,662
2026-09-21T01:08:35.391Z,2026-09-20 20:08:35,2026-09-21 03:08:35,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,343,657
2026-09-21T01:08:35.391Z,2026-09-20 20:08:35,2026-09-21 03:08:35,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,275,325,343,657
2026-09-21T01:41:34.748Z,2026-09-20 20:41:34,2026-09-21 03:41:34,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,355,645
2026-09-21T01:41:34.748Z,2026-09-20 20:41:34,2026-09-21 03:41:34,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,283,317,355,645
2026-09-21T02:01:17.703Z,2026-09-20 21:01:17,2026-09-21 04:01:17,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,356,644
2026-09-21T02:01:17.703Z,2026-09-20 21:01:17,2026-09-21 04:01:17,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,287,313,356,644
2026-09-21T02:33:29.113Z,2026-09-20 21:33:29,2026-09-21 04:33:29,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,383,617
2026-09-21T02:33:29.113Z,2026-09-20 21:33:29,2026-09-21 04:33:29,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,295,305,383,617
2026-09-21T02:55:36.774Z,2026-09-20 21:55:36,2026-09-21 04:55:36,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,446,554
2026-09-21T02:55:36.774Z,2026-09-20 21:55:36,2026-09-21 04:55:36,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,326,274,446,554
2026-09-21T03:08:19.203Z,2026-09-20 22:08:19,2026-09-21 05:08:19,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T03:08:19.203Z,2026-09-20 22:08:19,2026-09-21 05:08:19,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,345,255,450,550
2026-09-21T03:32:43.239Z,2026-09-20 22:32:43,2026-09-21 05:32:43,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T03:32:43.239Z,2026-09-20 22:32:43,2026-09-21 05:32:43,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T03:53:26.844Z,2026-09-20 22:53:26,2026-09-21 05:53:26,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T03:53:26.844Z,2026-09-20 22:53:26,2026-09-21 05:53:26,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T04:32:08.818Z,2026-09-20 23:32:08,2026-09-21 06:32:08,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T04:32:08.818Z,2026-09-20 23:32:08,2026-09-21 06:32:08,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
